id,name,name_ja,name_en,location,location_ja,location_en,image_url,image_source_url,image_license,image_credit,image_note,plan_url,section_url,concept,concept_ja,concept_en,keywords,keywords_ja,keywords_en,source_url,year,architect,status
CASE-011,Toyama-style Day Care Service Centers,Toyama-style Day Care Service Centers,Toyama-style Day Care Service Centers,Toyama Japan,Toyama 日本,Toyama Japan,/images/graduation/case-placeholder.svg,,,,Source review 2026-07-04: source replaced with Toyama Prefecture explanation; service-space model with no exact reusable building image confirmed.,,,以民家改修的小规模家庭式空间承载高龄者、障碍者和儿童共同使用的日间照护与地域交流。,「Toyama-style Day Care Service Centers」は、ケア・日常・小規模・家庭の関係を読み取る参考事例。用途の複合、運営、居場所のつくり方を卒業設計に転用して考えられる。,"Toyama-style Day Care Service Centers is a reference case for reading care, Design topic: 日常, Design topic: 小尺度, Design topic: 家庭. It can inform thesis thinking about mixed programs, operation, and place-making.",照护|日常|小尺度|家庭|地域共生,ケア|日常|小規模|家庭|地域共生,care|Design topic: 日常|Design topic: 小尺度|Design topic: 家庭|Design topic: 地域inclusive living,https://www.pref.toyama.jp/1200/chiikikyosei/toyamagata/toyamagata2.html,1993,,draft
CASE-012,Housing Complex Regeneration UR,Housing Complex Regeneration UR,Housing Complex Regeneration UR,Japan,日本,Japan,/images/graduation/cases/case-012-ur-akabanedai-danchi.jpg,https://commons.wikimedia.org/wiki/File:UR_Akabanedai_danchi_tdr.jpg,CC BY-SA 4.0,Tokyo Danchi / Wikimedia Commons,"Representative image for UR/danchi regeneration, not a project-specific official photo.",,,通过底层服务、开放空间和住户活动重组老旧团地的公共生活。,団地再生を住戸改修だけでなく、共用部、サービス、世代交流の再編として捉える参考事例。既存住民の生活を支えながら更新する視点がある。,"Housing Complex Regeneration UR is a reference case for reading Design topic: 团地, regeneration, service, Design topic: 代际. It can inform thesis thinking about mixed programs, operation, and place-making.",团地|再生|服务|代际|住宅再生,団地|再生|サービス|多世代|住宅再生,Design topic: 团地|regeneration|service|Design topic: 代际|Design topic: 住宅regeneration,https://note.ur-net.go.jp/n/n232ec2b13763?hl=en,,,published
CASE-013,Kaze no Machi Miyabira,Kaze no Machi Miyabira,Kaze no Machi Miyabira,Shobara Japan,Shobara 日本,Shobara Japan,/images/graduation/case-placeholder.svg,,,,Image review 2026-07-04: Commons and Openverse found no exact reusable project image; official media license not confirmed.,,,以医疗、照护和生活支援复合，探索地域照护的空间组织。,「Kaze no Machi Miyabira」は、医療・ケア・地域・高齢の関係を読み取る参考事例。用途の複合、運営、居場所のつくり方を卒業設計に転用して考えられる。,"Kaze no Machi Miyabira is a reference case for reading healthcare, care, Design topic: 地域, aging. It can inform thesis thinking about mixed programs, operation, and place-making.",医疗|照护|地域|高龄|喘息服务,医療|ケア|地域|高齢|呼吸器ケア,healthcare|care|Design topic: 地域|aging|Design topic: 喘息service,https://c-and-a.co.jp/en/projects/kaze-no-machi-miyabira/,2014,CAn Susumu Uno Yasuharu Rachi,draft
CASE-014,Sumida River Terrace,Sumida River Terrace,Sumida River Terrace,Tokyo Japan,東京 日本,Tokyo Japan,/images/graduation/cases/case-014-sumida-river-terrace.jpg,https://commons.wikimedia.org/wiki/File:Sumidagawa-River08080801.jpg,CC BY-SA 3.0,e97h0017 / Wikimedia Commons,,,,将城市水边转化为可步行、休憩和活动的连续公共空间。,川沿いの歩行、休憩、眺望を日常の公共空間として連続させる事例。水辺を観光資源だけでなく、都市生活の基盤として読める。,"Sumida River Terrace is a reference case for reading waterfront, Design topic: 步行, publicspace, Design topic: 避暑. It can inform thesis thinking about mixed programs, operation, and place-making.",水边|步行|公共空间|避暑|观光,水辺|歩行|公共空間|避暑|観光,waterfront|Design topic: 步行|publicspace|Design topic: 避暑|tourism,https://www.tokyoupdates.metro.tokyo.lg.jp/en/post-1729/,,,published
CASE-015,Minamisanriku 311 Memorial,Minamisanriku 311 Memorial,Minamisanriku 311 Memorial,Miyagi Japan,Miyagi 日本,Miyagi Japan,/images/graduation/cases/case-015-minamisanriku-311-memorial.jpg,https://commons.wikimedia.org/wiki/File:Minamisanriku_311_Memorial.jpg,CC BY-SA 3.0,Yasu,Wikimedia Commons verified cover,,,灾后公共设施把记忆、避难、交流和地区复兴放在同一空间框架内。,震災の記憶、学習、地域の再出発を公共施設として受け止める事例。防災を非常時だけでなく、日常の理解へつなげる参考になる。,"Minamisanriku 311 Memorial is a reference case for reading disaster prevention, Design topic: 复兴, publicfacility, Design topic: 平灾结合. It can inform thesis thinking about mixed programs, operation, and place-making.",防灾|复兴|公共设施|平灾结合|避难,防災|復興|公共施設|平時利用と災害対応|避難,disaster prevention|Design topic: 复兴|publicfacility|Design topic: 平灾结合|evacuation,https://kkaa.co.jp/en/project/minamisanriku-311-memorial/,2022,Kengo Kuma and Associates,published
CASE-016,ACROS Fukuoka,ACROS Fukuoka,ACROS Fukuoka,Fukuoka Japan,Fukuoka 日本,Fukuoka Japan,/images/graduation/cases/case-016-acros-fukuoka.jpg,https://commons.wikimedia.org/wiki/File:ACROS_Fukuoka_2011.jpg,CC BY-SA 2.0,Kenta Mabuchi / Wikimedia Commons,,,,以阶梯绿化连接城市、生态和公共活动，形成可进入的城市山体。,都市の中心部で建築と緑化を一体化し、環境性能と公共利用を重ねた事例。暑熱、生態、休憩を立体的に扱う参考になる。,"ACROS Fukuoka is a reference case for reading Design topic: 生态, Design topic: 绿化, Design topic: public建筑, Design topic: 热岛. It can inform thesis thinking about mixed programs, operation, and place-making.",生态|绿化|公共建筑|热岛|避暑,生態|緑化|公共建築|ヒートアイランド|避暑,Design topic: 生态|Design topic: 绿化|Design topic: public建筑|Design topic: 热岛|Design topic: 避暑,https://www.acros.or.jp/,1995,Emilio Ambasz,published
CASE-017,Yokohama Hammerhead,Yokohama Hammerhead,Yokohama Hammerhead,Yokohama Japan,横浜 日本,Yokohama Japan,/images/graduation/cases/case-017-yokohama-hammerhead.jpg,https://commons.wikimedia.org/wiki/File:YOKOHAMA_HAMMERHEAD_-_Hammerhead_Park_n02.jpg,CC BY-SA 4.0,NEO-NEED / Wikimedia Commons,,,,将港湾、商业、生产展示和旅客功能组织为开放的临水复合体。,港湾の生産展示、商業、滞在を一体化した複合施設。旧工業地や港湾部を、作る場所と見せる場所として再編集する手がかりになる。,"Yokohama Hammerhead is a reference case for reading harbor, Design topic: 生产exhibition, Design topic: 商业, Design topic: 旧工业地. It can inform thesis thinking about mixed programs, operation, and place-making.",港湾|生产展示|商业|旧工业地|产业再生,港湾岸|生産展示|商業|旧工業地|産業再生,harbor|Design topic: 生产exhibition|Design topic: 商业|Design topic: 旧工业地|industryregeneration,https://www.hammerhead.co.jp/,,,published
CASE-018,Kanazawa Umimirai Library,Kanazawa Umimirai Library,Kanazawa Umimirai Library,Kanazawa Japan,金沢 日本,Kanazawa Japan,/images/graduation/cases/case-018-kanazawa-umimirai-library.jpg,https://commons.wikimedia.org/wiki/File:Kanazawa_Umimirai_Library_exterior_ac_(4).jpg,CC BY-SA 4.0,Asturio Cantabrio / Wikimedia Commons,Verified 2026-07-12: Commons metadata names Kanazawa Umimirai Library and matches Asturio Cantabrio / CC BY-SA 4.0; the perforated white facade matches the official municipal architecture guide.,,,以均质光孔和大空间提供安静、开放的城市学习环境。,自然光に包まれた大きな閲覧空間を持つ公共図書館。静かな学習と地域の開放性を両立する空間密度を比較できる。,"Kanazawa Umimirai Library is a reference case for reading library, Design topic: 光, learning, publicness. It can inform thesis thinking about mixed programs, operation, and place-making.",图书馆|光|学习|公共性|第三空间,図書館|光|学習|公共性|第三空間,library|Design topic: 光|learning|publicness|third place,https://www.lib.kanazawa.ishikawa.jp/umimirai/outline/architectural-information,2011,Coelacanth K&H,published
CASE-019,Kokubunji Cocobunji Plaza,Kokubunji Cocobunji Plaza,Kokubunji Cocobunji Plaza,Tokyo Japan,東京 日本,Tokyo Japan,/images/graduation/cases/case-019-kokubunji-city-hall.jpg,https://commons.wikimedia.org/wiki/File:Kokubunji_City_Hall.jpg,CC BY-SA 3.0,Hykw-a4 / Wikimedia Commons,Representative Kokubunji civic image; Cocobunji Plaza source remains the official facility page.,,,车站上部公共设施集合活动、咨询和市民交流，强化交通节点公共性。,駅前に市民活動、相談、公共サービスをまとめた複合拠点。生活の用事と地域参加が近接する公共施設として読める。,"Kokubunji Cocobunji Plaza is a reference case for reading station, citizenactivity, consultation, public service. It can inform thesis thinking about mixed programs, operation, and place-making.",车站|市民活动|咨询|公共服务|第三空间|生活支持|公共性,駅|市民活動|相談|公共サービス|第三空間|生活支援|公共性,station|citizenactivity|consultation|public service|third place|Design topic: 生活支持|publicness,https://www.city.kokubunji.tokyo.jp/shisetsu/shikanren/hall/1017572.html,,,published
CASE-020,Michi-no-Eki Community Hub,Michi-no-Eki Community Hub,Michi-no-Eki Community Hub,Japan,日本,Japan,/images/graduation/cases/case-020-michi-no-eki-oguni.jpg,https://commons.wikimedia.org/wiki/File:Michi_no_eki_Oguni.jpg,CC BY-SA 3.0,STA3816 / Wikimedia Commons,Representative image for the Michi-no-Eki typology.,,,道之驿常把交通休息、地方销售、灾时支援和观光信息结合。,交通、地域食、観光案内、防災を受け止める道の駅型の地域拠点。移動の途中に生活サービスを重ねる考え方を比較できる。,"Michi-no-Eki Community Hub is a reference case for reading transport, local, disaster prevention, local food. It can inform thesis thinking about mixed programs, operation, and place-making.",交通|地方|防灾|地域食|移动服务|观光|交通弱化,交通|地域|防災|地域食|移動サービス|観光|交通弱化,transport|local|disaster prevention|local food|mobilityservice|tourism|Design topic: transport弱化,https://www.mlit.go.jp/road/Michi-no-Eki/,,,published
CASE-021,Toyama Kirari,Toyama Kirari,Toyama Kirari,Toyama Japan,Toyama 日本,Toyama Japan,/images/graduation/cases/case-021-toyama-kirari.jpg,https://commons.wikimedia.org/wiki/File:TOYAMA_KIRARI_exterior_in_the_morning_ac_(3).jpg,CC BY-SA 4.0,Asturio Cantabrio / Wikimedia Commons,,,,图书馆、美术馆、银行与商业界面复合，形成城市中心的文化公共节点。,図書館、美術館、交流空間を都市中心部で重ねた複合公共建築。学習と文化利用が上下に連続する構成を比較できる。,"Toyama Kirari is a reference case for reading library, art museum, Design topic: 复合public建筑, urbancenter. It can inform thesis thinking about mixed programs, operation, and place-making.",图书馆|美术馆|复合公共建筑|城市中心|学习,図書館|美術館|複合公共建築|都市中心部|学習,library|art museum|Design topic: 复合public建筑|urbancenter|learning,https://kkaa.co.jp/en/project/toyama-kirari/,2015,Kengo Kuma and Associates,published
CASE-022,Minna no Mori Gifu Media Cosmos,Minna no Mori Gifu Media Cosmos,Minna no Mori Gifu Media Cosmos,Gifu Japan,Gifu 日本,Gifu Japan,/images/graduation/cases/case-022-minna-no-mori-gifu-media-cosmos.jpg,https://commons.wikimedia.org/wiki/File:Gifu_Media_Cosmos_exterior_ac_(1).jpg,CC BY-SA 4.0,Asturio Cantabrio / Wikimedia Commons,,,,图书馆、市民活动、多文化交流和展示功能并置，形成面向日常停留的市民平台。,図書館と市民活動を大きな屋根の下にまとめた公共施設。多文化利用、学習、交流を同時に受け止める開放性を読める。,"Minna no Mori Gifu Media Cosmos is a reference case for reading library, citizenactivity, multicultural, learning. It can inform thesis thinking about mixed programs, operation, and place-making.",图书馆|市民活动|多文化|学习|公共性,図書館|市民活動|多文化|学習|公共性,library|citizenactivity|multicultural|learning|publicness,https://www.toyo-ito.co.jp/WWW/Project_Descript/2015-/2015-p_02/2015-p_02_j.html,2015,Toyo Ito and Associates,published
CASE-023,Nakanoshima Children's Book Forest,Nakanoshima Children's Book Forest,Nakanoshima Children's Book Forest,Osaka Japan,大阪 日本,Osaka Japan,/images/graduation/cases/case-023-nakanoshima-children-s-book-forest.jpg,https://commons.wikimedia.org/wiki/File:Nakanoshima_Children%60s_Book_Forest.jpg,CC BY-SA 4.0,KishujiRapid / Wikimedia Commons,,,,把儿童阅读、河岸步行和城市文化记忆结合，形成可自由探索的书之公共空间。,子どもが本と出会う体験を、水辺の都市環境と結びつけた図書施設。学習を管理ではなく発見として設計する参考になる。,"Nakanoshima Children's Book Forest is a reference case for reading children, library, waterfront, learning. It can inform thesis thinking about mixed programs, operation, and place-making.",儿童|图书馆|水边|学习|文化,子ども|図書館|水辺|学習|文化,children|library|waterfront|learning|culture,https://kodomohonnomori.osaka/,2020,Tadao Ando Architect & Associates,published
CASE-024,AU Childcare Support,AU Childcare Support,AU Childcare Support,Sasebo Japan,Sasebo 日本,Sasebo Japan,/images/graduation/case-placeholder.svg,,,,Image review 2026-07-04: Commons and Openverse found no exact reusable project image; official media license not confirmed.,,,亲子、保护者和地域居民可低门槛进入，育儿咨询与交流被组织成日常场景。,「AU Childcare Support」は、子育て・親子・相談・コミュニティの関係を読み取る参考事例。用途の複合、運営、居場所のつくり方を卒業設計に転用して考えられる。,"AU Childcare Support is a reference case for reading childcare, Design topic: 亲子, consultation, community. It can inform thesis thinking about mixed programs, operation, and place-making.",育儿|亲子|咨询|社区|家庭支持,子育て|親子|相談|コミュニティ|家庭支援,childcare|Design topic: 亲子|consultation|community|Design topic: 家庭支持,https://e-ensha.com/en-au-childcare-support/,,HIBINOSEKKEI + Youji no Shiro,draft
CASE-025,IRH Child Development Support,IRH Child Development Support,IRH Child Development Support,Japan,日本,Japan,/images/graduation/case-placeholder.svg,,,,Image review 2026-07-04: Commons and Openverse found no exact reusable image; ArchDaily and official media license not confirmed.,,,儿童发展支援与育儿支援并置，街道侧开放空间降低了照护设施的心理门槛。,「IRH Child Development Support」は、子ども発達・子育て・ケア・街路との接点の関係を読み取る参考事例。用途の複合、運営、居場所のつくり方を卒業設計に転用して考えられる。,"IRH Child Development Support is a reference case for reading Design topic: children发展, childcare, care, Design topic: 街道界面. It can inform thesis thinking about mixed programs, operation, and place-making.",儿童发展|育儿|照护|街道界面|共生,子ども発達|子育て|ケア|街路との接点|共生,Design topic: children发展|childcare|care|Design topic: 街道界面|inclusive living,https://e-ensha.com/en-irh-child-development-support/,,HIBINOSEKKEI + Youji no Shiro,draft
CASE-026,Yoridoko Employment Support Center,Yoridoko Employment Support Center,Yoridoko Employment Support Center,Japan,日本,Japan,/images/graduation/case-placeholder.svg,,,,,,,旧服装店改造为面向生存困难青年和障碍者的就业支援据点，并向商店街打开。,「Yoridoko Employment Support Center」は、障害・就労支援・商店街・再利用の関係を読み取る参考事例。用途の複合、運営、居場所のつくり方を卒業設計に転用して考えられる。,"Yoridoko Employment Support Center is a reference case for reading Design topic: 障碍, Design topic: employment支持, Design topic: 商店街, reuse. It can inform thesis thinking about mixed programs, operation, and place-making.",障碍|就业支持|商店街|再利用|共生,障害|就労支援|商店街|再利用|共生,Design topic: 障碍|Design topic: employment支持|Design topic: 商店街|reuse|inclusive living,https://www.td-ms.com/works/yoridoko/index.html#work,,TD atelier,draft
CASE-027,Yusuhara Community Library Yururi Yusuhara,Yusuhara Community Library Yururi Yusuhara,Yusuhara Community Library Yururi Yusuhara,Yusuhara Japan,Yusuhara 日本,Yusuhara Japan,/images/graduation/cases/case-027-yusuhara-community-library.jpg,https://commons.wikimedia.org/wiki/File:%E3%82%86%E3%81%99%E3%81%AF%E3%82%89%E9%9B%B2%E3%81%AE%E4%B8%8A%E3%81%AE%E5%9B%B3%E6%9B%B8%E9%A4%A8%EF%BC%88%E6%A2%BC%E5%8E%9F%E7%94%BA%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8%EF%BC%89_02.jpg,CC0,Asset utilitist / Wikimedia Commons,Replaced 2026-07-12: the previous correct but sideways entrance image was not suitable as a cover. This CC0 interior clearly shows the library's distinctive cedar structure and matches the official architect description; Commons identity and author were rechecked.,,,图书馆与福祉设施相邻，以地方木材和可停留空间支持山村的多代交流。,図書館、福祉、地域木材の空間を重ねた地域拠点。高齢者、子ども、観光客が同じ場所に滞在できる多世代の公共性を読める。,"Yusuhara Community Library Yururi Yusuhara is a reference case for reading library, Design topic: 福祉, Design topic: local木材, Design topic: 多代exchange. It can inform thesis thinking about mixed programs, operation, and place-making.",图书馆|福祉|地方木材|多代交流|高龄,図書館|福祉|地域木材|多世代交流|高齢,library|Design topic: 福祉|Design topic: local木材|Design topic: 多代exchange|aging,https://kkaa.co.jp/en/project/yusuhara-community-library-yururi-yusuhara/,2018,Kengo Kuma and Associates,published
CASE-028,Shiroiya Hotel,Shiroiya Hotel,Shiroiya Hotel,Maebashi Japan,Maebashi 日本,Maebashi Japan,/images/graduation/cases/case-028-shiroiya-hotel.jpg,https://commons.wikimedia.org/wiki/File:Shiroiya_Hotel.jpg,CC BY 4.0,こやまひろ,Wikimedia Commons verified cover,,,旧旅馆再生为住宿、艺术和半公共活动场，成为地方中心街区更新的触媒。,既存建物、宿泊、アート、街の回遊を組み合わせた中心市街地再生の事例。空き建物を滞在体験へ変える方法を比較できる。,"Shiroiya Hotel is a reference case for reading localregeneration, Design topic: 住宿, art, Design topic: center市街地. It can inform thesis thinking about mixed programs, operation, and place-making.",地方再生|住宿|艺术|中心市街地|再利用,地域再生|宿泊|アート|中心市街地|再利用,localregeneration|Design topic: 住宿|art|Design topic: center市街地|reuse,https://www.shiroiya.com/en/stories/soufujimoto/,2020,Sou Fujimoto Architects,published
CASE-029,Musashino Place,Musashino Place,Musashino Place,Tokyo Japan,東京 日本,Tokyo Japan,/images/graduation/cases/case-029-musashino-place.jpg,https://commons.wikimedia.org/wiki/File:Musashino_Place_exterior_ac_(1).jpg,CC BY-SA 4.0,Asturio Cantabrio,Wikimedia Commons verified cover,,,图书馆、市民活动、生涯学习和青少年活动整合，提供非商业的城市停留场所。,図書館、青少年活動、市民交流を駅前で重ねた第三の居場所。学校や家庭以外の学びと滞在を支える構成を比較できる。,"Musashino Place is a reference case for reading library, Design topic: 青少年, citizenactivity, third place. It can inform thesis thinking about mixed programs, operation, and place-making.",图书馆|青少年|市民活动|第三空间|学习,図書館|青少年|市民活動|第三の居場所|学習,library|Design topic: 青少年|citizenactivity|third place|learning,https://www.musashino.or.jp/place/,2011,kw+hg architects,published
