id,name,name_ja,name_en,address_example,address_example_ja,address_example_en,fit_reason,fit_reason_ja,fit_reason_en,map_url,keywords,keywords_ja,keywords_en,candidate_locations_json,status
SITE-011,保健中心周边,保健センター周辺,Design topic: 保健center周边,东京都世田谷区｜世田谷区保健中心周边,東京都世田谷区｜世田谷区保健センター周辺,Tokyo Setagaya | Setagaya Health Center area,已有咨询和行政触点，适合叠加产后照护、育儿交流、健康咨询和家庭支援功能。,保健センター周辺は、保健・子育て・相談・家庭支援を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 保健center周边 is a site type that can turn Design topic: 保健, childcare, consultation, Design topic: 家庭支持 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,保健|育儿|咨询|家庭支持|产后,保健|子育て|相談|家庭支援|産後,Design topic: 保健|childcare|consultation|Design topic: 家庭支持|Design topic: 产后,"[{""area"":""东京都世田谷区"",""area_ja"":""東京都世田谷区"",""area_en"":""Tokyo Setagaya"",""name"":""世田谷区保健中心周边"",""name_ja"":""世田谷区保健センター周辺"",""name_en"":""Setagaya Health Center area"",""angle"":""可在近邻尺度上研究健康咨询、福祉和育儿支援的入口。"",""angle_ja"":""健康相談、福祉、子育て支援の入口を近隣スケールで検討できる。"",""angle_en"":""A local health center area for studying health consultation and family support."",""source_url"":""https://www.city.setagaya.lg.jp/03662/10852.html""},{""area"":""神奈川县横滨市港北区"",""area_ja"":""神奈川県横浜市港北区"",""area_en"":""Yokohama Kohoku"",""name"":""港北区福祉保健中心周边"",""name_ja"":""港北区福祉保健センター周辺"",""name_en"":""Kohoku Ward Health and Welfare Center"",""angle"":""可把区役所功能和福祉保健窗口重新理解为日常咨询空间。"",""angle_ja"":""区役所機能と福祉保健窓口を、日常相談の空間として読み替えられる。"",""angle_en"":""A ward office health and welfare center for studying everyday consultation access."",""source_url"":""https://www.city.yokohama.lg.jp/kohoku/madoguchi-shisetsu/kuyakusho/gyomuannai/sabisu.html""}]",published
SITE-012,近郊农地边缘,近郊農地縁辺,Design topic: 近郊农地边缘,东京都练马区｜农业体验农园周边,東京都練馬区｜農業体験農園周辺,Tokyo Nerima | Nerima farming experience gardens,可把食育、地方销售、儿童学习和循环资源教育连接起来，适合低层开放型公共设施。,近郊農地縁辺は、都市農業・食育・近郊・循環を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 近郊农地边缘 is a site type that can turn Design topic: 都市农业, food education, Design topic: 近郊, Design topic: 循环 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,都市农业|食育|近郊|循环|儿童学习,都市農業|食育|近郊|循環|子ども学習,Design topic: 都市农业|food education|Design topic: 近郊|Design topic: 循环|childrenlearning,"[{""area"":""东京都练马区"",""area_ja"":""東京都練馬区"",""area_en"":""Tokyo Nerima"",""name"":""农业体验农园周边"",""name_ja"":""農業体験農園周辺"",""name_en"":""Nerima farming experience gardens"",""angle"":""都市农地、学习和地域参与相连，适合研究食育设施场地条件。"",""angle_ja"":""都市農地、学習、地域参加をつなぎ、食育施設の敷地条件を読みやすい。"",""angle_en"":""Urban farmland, learning, and local participation make food education spatially legible."",""source_url"":""https://www.city.nerima.tokyo.jp/kankomoyoshi/nogyo/hureai/taikennoen.html""},{""area"":""东京都千代田区"",""area_ja"":""東京都千代田区"",""area_en"":""Tokyo Chiyoda"",""name"":""Pasona Urban Farm"",""name_ja"":""Pasona Urban Farm"",""name_en"":""Pasona Urban Farm"",""angle"":""可从办公与农业的重叠方式获得把都市农业插入工作空间的思路。"",""angle_ja"":""オフィスと農の重ね方から、都市農業を働く場に挿入する発想を得られる。"",""angle_en"":""A reference for inserting farming into office and work environments."",""source_url"":""https://konodesigns.com/urban-farm/""}]",published
SITE-013,公共浴场街区,公衆浴場街区,Design topic: public浴场neighborhood,东京都大田区｜蒲田周边黑汤澡堂街区,東京都大田区｜蒲田周辺の黒湯銭湯街区,Tokyo Ota | Kamata black-water sento area,浴场具有日常健康和邻里交流基础，适合更新为洗浴、照护、休息和小型食堂复合空间。,公衆浴場街区は、銭湯・健康・高齢・近隣を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: public浴场neighborhood is a site type that can turn Design topic: 澡堂, health, aging, Design topic: 邻里 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,澡堂|健康|高龄|邻里|第三空间,銭湯|健康|高齢|近隣|第三空間,Design topic: 澡堂|health|aging|Design topic: 邻里|third place,"[{""area"":""东京都大田区"",""area_ja"":""東京都大田区"",""area_en"":""Tokyo Ota"",""name"":""蒲田周边黑汤澡堂街区"",""name_ja"":""蒲田周辺の黒湯銭湯街区"",""name_en"":""Kamata black-water sento area"",""angle"":""澡堂、温泉和日常使用仍存在，适合研究健康交流据点更新。"",""angle_ja"":""銭湯、温泉、日常利用が残り、健康交流拠点への更新を考えやすい。"",""angle_en"":""Sento and hot spring culture remain as everyday health and community infrastructure."",""source_url"":""https://www.city.ota.tokyo.jp/sangyo/sento/about_sento.html""},{""area"":""秋田县鹿角市"",""area_ja"":""秋田県鹿角市"",""area_en"":""Kazuno Akita"",""name"":""汤之站大汤周边"",""name_ja"":""湯の駅おおゆ周辺"",""name_en"":""Yu no Eki Ohyu area"",""angle"":""可从足汤、饮食和观光案内学习短时间停留型温浴据点。"",""angle_ja"":""足湯、食、観光案内を手がかりに、短時間滞在型の温浴拠点を学べる。"",""angle_en"":""A footbath and local food hub for studying short-stay bathing-related public space."",""source_url"":""https://kkaa.co.jp/en/project/yu-no-eki-ohyu/""}]",published
SITE-014,福祉作业所周边,福祉作業所周辺,Design topic: 福祉作业所周边,东京都世田谷区｜世田谷区立障害者就业支援中心 Skip 周边,東京都世田谷区｜世田谷区立障害者就労支援センターすきっぷ周辺,Tokyo Setagaya | Setagaya Skip Employment Support Center,接近日常生活圈，适合把就业训练、展示销售、咨询和街区交流放在同一界面上。,福祉作業所周辺は、障害・就労支援・共生・商店街を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 福祉作业所周边 is a site type that can turn Design topic: 障碍, Design topic: employment支持, inclusive living, Design topic: 商店街 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,障碍|就业支持|共生|商店街|展示销售,障害|就労支援|共生|商店街|展示販売,Design topic: 障碍|Design topic: employment支持|inclusive living|Design topic: 商店街|Design topic: exhibition销售,"[{""area"":""东京都世田谷区"",""area_ja"":""東京都世田谷区"",""area_en"":""Tokyo Setagaya"",""name"":""世田谷区立障害者就业支援中心 Skip 周边"",""name_ja"":""世田谷区立障害者就労支援センターすきっぷ周辺"",""name_en"":""Setagaya Skip Employment Support Center"",""angle"":""可连接就业支援、生活咨询和住宅地，研究看得见的街区福祉据点。"",""angle_ja"":""就労支援、生活相談、住宅地を結び、街に見える福祉拠点を検討できる。"",""angle_en"":""Links employment support, daily consultation, and residential context for inclusive work."",""source_url"":""https://skip.ikuseikai-tky.or.jp/""},{""area"":""神奈川县横滨市神奈川区"",""area_ja"":""神奈川県横浜市神奈川区"",""area_en"":""Yokohama Kanagawa"",""name"":""地域活动支援中心・作业所型设施周边"",""name_ja"":""地域活動支援センター・作業所型施設周辺"",""name_en"":""Yokohama community workshop facilities"",""angle"":""可比较把作业、销售和咨询接近街路的福祉作业所型场地。"",""angle_ja"":""作業、販売、相談を街路に近づける福祉作業所型の敷地を比較できる。"",""angle_en"":""Workshop-style facilities help compare production, sales, and support at street level."",""source_url"":""https://www.city.yokohama.lg.jp/kenko-iryo-fukushi/fukushi-kaigo/fukushi/annai/zaitaku/nicchu/chiki/sagyou.html""}]",published
SITE-015,高架下或桥下空间,高架下または桥下空間,Design topic: 高架下或桥下space,东京都千代田区・港区｜日比谷 OKUROJI 周边,東京都千代田区・港区｜日比谷OKUROJI周辺,Tokyo Chiyoda and Minato | Hibiya OKUROJI area,遮雨条件稳定但常被切割和噪音影响，适合做运动、工坊、市集和步行连接修复。,高架下または桥下空間は、高架下・桥下・歩行・雨天空間を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 高架下或桥下space is a site type that can turn Design topic: 高架下, Design topic: 桥下, Design topic: 步行, Design topic: 雨天space into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,高架下|桥下|步行|雨天空间|公共性,高架下|桥下|歩行|雨天空間|公共性,Design topic: 高架下|Design topic: 桥下|Design topic: 步行|Design topic: 雨天space|publicness,"[{""area"":""东京都千代田区・港区"",""area_ja"":""東京都千代田区・港区"",""area_en"":""Tokyo Chiyoda and Minato"",""name"":""日比谷 OKUROJI 周边"",""name_ja"":""日比谷OKUROJI周辺"",""name_en"":""Hibiya OKUROJI area"",""angle"":""可把铁路高架下作为转化成餐饮、步行和停留的城市余白来研究。"",""angle_ja"":""鉄道高架下を飲食、歩行、滞在へ転用する都市余白として読める。"",""angle_en"":""An under-rail reuse area for studying dining, passage, and stay under infrastructure."",""source_url"":""https://www.jrtk.jp/hibiya-okuroji/""},{""area"":""神奈川县横滨市"",""area_ja"":""神奈川県横浜市"",""area_en"":""Yokohama Kanagawa"",""name"":""黄金町高架下周边"",""name_ja"":""黄金町高架下周辺"",""name_en"":""Koganecho under-rail area"",""angle"":""可调研高架下空间如何通过艺术、制作和步行被修复。"",""angle_ja"":""高架下空間をアート、制作、歩行で修復するプロセスを調査できる。"",""angle_en"":""A rail-underpass regeneration area shaped by art, production, and pedestrian use."",""source_url"":""https://koganecho.net/""}]",published
SITE-016,公园公共厕所周边,公園公共トイレ周辺,Design topic: parkpublic toilet周边,东京都涩谷区｜THE TOKYO TOILET 对象公园,東京都渋谷区｜THE TOKYO TOILET 対象公園,Tokyo Shibuya | THE TOKYO TOILET park sites,厕所、照明、休息和看护常决定公共空间是否可安心使用，适合做小尺度但高影响的公共节点。,公園公共トイレ周辺は、公共トイレ・公園・安全・バリアフリーを空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: parkpublic toilet周边 is a site type that can turn public toilet, park, safety, Design topic: 无障碍 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,公共厕所|公园|安全|无障碍|步行,公共トイレ|公園|安全|バリアフリー|歩行,public toilet|park|safety|Design topic: 无障碍|Design topic: 步行,"[{""area"":""东京都涩谷区"",""area_ja"":""東京都渋谷区"",""area_en"":""Tokyo Shibuya"",""name"":""THE TOKYO TOILET 对象公园"",""name_ja"":""THE TOKYO TOILET 対象公園"",""name_en"":""THE TOKYO TOILET park sites"",""angle"":""可把公共厕所作为安全、照护和城市景观的小型据点来研究。"",""angle_ja"":""公共トイレを安全、ケア、都市景観の小さな拠点として検討できる。"",""angle_en"":""A set of public toilets for studying safety, care, and urban dignity at small scale."",""source_url"":""https://www.city.shibuya.tokyo.jp/shisetsu/koen/koshu-toilet/thetokyotoilet_list.html""},{""area"":""东京都涩谷区"",""area_ja"":""東京都渋谷区"",""area_en"":""Tokyo Shibuya"",""name"":""代代木深町小公园厕所周边"",""name_ja"":""代々木深町小公園トイレ周辺"",""name_en"":""Yoyogi Fukamachi Mini Park toilet"",""angle"":""可分析透明性、安心感和公园使用如何连接成小建筑公共性。"",""angle_ja"":""透明性、安心感、公園利用を結び、小建築の公共性を分析できる。"",""angle_en"":""A public toilet and park setting for analyzing transparency, comfort, and civic use."",""source_url"":""https://tokyotoilet.jp/""}]",published
SITE-017,学校外缘学习节点,学校外缘学習ノード,Design topic: school外缘learning节点,东京都世田谷区｜HOME/WORK VILLAGE 周边,東京都世田谷区｜HOME/WORK VILLAGE 周辺,Tokyo Setagaya | HOME/WORK VILLAGE area,可承接不登校、课后学习、安静停留和家长咨询，形成不进入学校也能学习的缓冲空间。,学校外缘学習ノードは、学校周辺・不登校・学習・相談を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: school外缘learning节点 is a site type that can turn Design topic: school周边, Design topic: 不登校, learning, consultation into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,学校周边|不登校|学习|咨询|儿童,学校周辺|不登校|学習|相談|子ども,Design topic: school周边|Design topic: 不登校|learning|consultation|children,"[{""area"":""东京都世田谷区"",""area_ja"":""東京都世田谷区"",""area_en"":""Tokyo Setagaya"",""name"":""HOME/WORK VILLAGE 周边"",""name_ja"":""HOME/WORK VILLAGE 周辺"",""name_en"":""HOME/WORK VILLAGE area"",""angle"":""旧校舍与地域利用相接，适合思考学校外学习和咨询入口。"",""angle_ja"":""旧校舎と地域利用が接し、学校外の学びや相談の入口を考えやすい。"",""angle_en"":""A former school and public-use mix for studying learning outside the school system."",""source_url"":""https://homeworkvillage.com/""},{""area"":""神奈川县厚木市"",""area_ja"":""神奈川県厚木市"",""area_en"":""Atsugi Kanagawa"",""name"":""KAIT Workshop 周边"",""name_ja"":""KAIT Workshop 周辺"",""name_en"":""KAIT Workshop area"",""angle"":""可从制作、学习和开放工房环境思考学校周边学习节点。"",""angle_ja"":""制作、学習、開いた工房環境から、学校周辺の学習ノードを考えられる。"",""angle_en"":""A campus workshop reference for thinking about open learning and making nodes."",""source_url"":""https://en.kait.jp/facilities/kait-workshop.html""}]",published
SITE-018,温泉街入口,温泉街入口,Design topic: 温泉街entry,大分县别府市｜别府站至竹瓦温泉周边,大分県別府市｜別府駅から竹瓦温泉周辺,Beppu Oita | Beppu Station to Takegawara Onsen,已有旅游和洗浴资源，但日常公共性常不足，适合把足汤、休息、地域食和信息整合。,温泉街入口は、温泉街・観光・健康・地域文化を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 温泉街entry is a site type that can turn Design topic: 温泉街, tourism, health, localculture into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,温泉街|旅游|健康|地方文化|休息,温泉街|観光|健康|地域文化|休息,Design topic: 温泉街|tourism|health|localculture|Design topic: 休息,"[{""area"":""大分县别府市"",""area_ja"":""大分県別府市"",""area_en"":""Beppu Oita"",""name"":""别府站至竹瓦温泉周边"",""name_ja"":""別府駅から竹瓦温泉周辺"",""name_en"":""Beppu Station to Takegawara Onsen"",""angle"":""车站、温泉和商店街连续，适合研究调停观光与日常利用的入口。"",""angle_ja"":""駅、温泉、商店街が連続し、観光と日常利用を調停する入口を考えやすい。"",""angle_en"":""Station, bathhouse, and shopping street overlap at a tourism and daily-life gateway."",""source_url"":""https://www.city.beppu.oita.jp/sisetu/shieionsen/detail4.html""},{""area"":""群马县涩川市"",""area_ja"":""群馬県渋川市"",""area_en"":""Shibukawa Gunma"",""name"":""伊香保温泉石段街入口"",""name_ja"":""伊香保温泉石段街入口"",""name_en"":""Ikaho Onsen stone steps entrance"",""angle"":""石段、温泉旅馆和广场连续，适合作为停留与步行节点研究对象。"",""angle_ja"":""石段、温泉宿、広場が続き、滞在と歩行の結節点を読みやすい。"",""angle_en"":""Stone steps, inns, and small plazas create a legible onsen gateway."",""source_url"":""https://www.city.shibukawa.lg.jp/kankou/000357/000360/p000206.html""}]",published
SITE-019,共享办公空置楼层,シェアオフィス空きフロア,Design topic: shared办公空置楼层,千叶县柏市｜柏之叶 KOIL 周边,千葉県柏市｜柏の葉KOIL周辺,Kashiwa Chiba | Kashiwa-no-ha KOIL area,既有基础设施完善，适合低成本转化为创业、学习、制作和社区共创空间。,シェアオフィス空きフロアは、シェアオフィス・起業・空きフロア・共創を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: shared办公空置楼层 is a site type that can turn Design topic: shared办公, Design topic: 创业, Design topic: 空置楼层, Design topic: 共创 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,共享办公|创业|空置楼层|共创|学习,シェアオフィス|起業|空きフロア|共創|学習,Design topic: shared办公|Design topic: 创业|Design topic: 空置楼层|Design topic: 共创|learning,"[{""area"":""千叶县柏市"",""area_ja"":""千葉県柏市"",""area_en"":""Kashiwa Chiba"",""name"":""柏之叶 KOIL 周边"",""name_ja"":""柏の葉KOIL周辺"",""name_en"":""Kashiwa-no-ha KOIL area"",""angle"":""可作为共创办公、研究和地域实验叠合的创业支援据点来研究。"",""angle_ja"":""共創オフィス、研究、地域実験を重ねる起業支援拠点として読める。"",""angle_en"":""A co-creation office hub for studying startup support and urban experiments."",""source_url"":""https://www.koil.jp/?lang=en""},{""area"":""东京都世田谷区"",""area_ja"":""東京都世田谷区"",""area_en"":""Tokyo Setagaya"",""name"":""HOME/WORK VILLAGE 共享办公周边"",""name_ja"":""HOME/WORK VILLAGE コワーキング周辺"",""name_en"":""HOME/WORK VILLAGE coworking area"",""angle"":""可从旧校舍内工作场所、店铺和广场获得空置楼层转用线索。"",""angle_ja"":""旧校舎内の働く場、店舗、広場から、空きフロア転用のヒントを得られる。"",""angle_en"":""A former school with workspaces, shops, and plaza-like activity for reuse study."",""source_url"":""https://homeworkvillage.com/""}]",published
SITE-020,调节池或雨水设施周边,調整池または雨水施設周辺,Design topic: 调节池或雨水facility周边,埼玉县越谷市｜大相模调节池・越谷Lake Town,埼玉県越谷市｜大相模調節池・越谷レイクタウン,Koshigaya Saitama | Osagami Retarding Basin and Koshigaya LakeTown,可把防洪基础设施转化为环境教育、公园活动和社区防灾学习空间。,調整池または雨水施設周辺は、雨水・調整池・グリーンインフラ・防災を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 调节池或雨水facility周边 is a site type that can turn Design topic: 雨水, Design topic: 调节池, Design topic: 蓝绿基础facility, disaster prevention into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,雨水|调节池|蓝绿基础设施|防灾|环境教育,雨水|調整池|グリーンインフラ|防災|環境教育,Design topic: 雨水|Design topic: 调节池|Design topic: 蓝绿基础facility|disaster prevention|environmental education,"[{""area"":""埼玉县越谷市"",""area_ja"":""埼玉県越谷市"",""area_en"":""Koshigaya Saitama"",""name"":""大相模调节池・越谷Lake Town"",""name_ja"":""大相模調節池・越谷レイクタウン"",""name_en"":""Osagami Retarding Basin and Koshigaya LakeTown"",""angle"":""调节池、商业和步道叠合，适合把雨水管理理解为日常公园。"",""angle_ja"":""調節池、商業、遊歩道が重なり、雨水管理を日常公園として読める。"",""angle_en"":""A retarding basin, mall, and promenade system for everyday stormwater learning."",""source_url"":""https://www.city.koshigaya.saitama.jp/citypromotion/shizen/ike/mizubekatsuyou.html""},{""area"":""福冈县福冈市"",""area_ja"":""福岡県福岡市"",""area_en"":""Fukuoka City"",""name"":""ACROS福冈阶梯花园"",""name_ja"":""ACROS福岡ステップガーデン"",""name_en"":""ACROS Fukuoka Step Garden"",""angle"":""绿化、雨水和文化设施重叠，适合作为都市环境学习据点参考。"",""angle_ja"":""緑化、雨水、文化施設が重なり、都市の環境学習拠点として読める。"",""angle_en"":""A green stepped roof and cultural facility for studying urban ecology and learning."",""source_url"":""https://www.acros.or.jp/""}]",published
SITE-021,岛屿港口周边,島嶼港周辺,Design topic: 岛屿港口周边,濑户内海等离岛港口、候船所和小聚落入口,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,港口是居民生活、观光到达和物流交汇点，适合叠加休息、档案、艺术导览和生活服务。,島嶼港周辺は、離島・港・観光・住民生活を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 岛屿港口周边 is a site type that can turn Design topic: 离岛, Design topic: 港口, tourism, Design topic: resident生活 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,离岛|港口|观光|居民生活|地方文化,離島|港|観光|住民生活|地域文化,Design topic: 离岛|Design topic: 港口|tourism|Design topic: resident生活|localculture,,draft
SITE-022,旧工业遗产地,旧産業遺産地,Design topic: 旧工业heritage地,旧精炼所、旧矿山、旧造船或能源设施周边,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,大型遗构具有强烈记忆和环境议题，适合转化为展览、生态教育和地方再生空间。,旧産業遺産地は、産業遺産・再利用・環境教育・地域再生を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 旧工业heritage地 is a site type that can turn Design topic: 工业heritage, reuse, environmental education, localregeneration into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,工业遗产|再利用|环境教育|地方再生|展览,産業遺産|再利用|環境教育|地域再生|展示,Design topic: 工业heritage|reuse|environmental education|localregeneration|exhibition,,draft
SITE-023,车站前图书馆街区,駅前図書館街区,Design topic: station前libraryneighborhood,地方城市车站前广场和公共文化设施周边,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,交通可达性高，适合把图书馆、市民活动、学习和观光信息组织成城市入口。,駅前図書館街区は、駅前・図書館・市民活動・コンパクト都市を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: station前libraryneighborhood is a site type that can turn Design topic: station前, library, citizenactivity, Design topic: 紧凑urban into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,车站前|图书馆|市民活动|紧凑城市|学习,駅前|図書館|市民活動|コンパクト都市|学習,Design topic: station前|library|citizenactivity|Design topic: 紧凑urban|learning,,draft
SITE-024,道之驿周边,道の駅周辺,Design topic: roadside station周边,地方道路服务站及其停车场、农产销售和休息区周边,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,既服务司机也服务居民，可复合地方食物、交通休息、防灾和社区活动。,道の駅周辺は、道の駅・地域食・交通・防災を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: roadside station周边 is a site type that can turn roadside station, local food, transport, disaster prevention into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,道之驿|地域食|交通|防灾|地方服务,道の駅|地域食|交通|防災|地域サービス,roadside station|local food|transport|disaster prevention|localservice,,draft
SITE-025,低密度美术馆街区,低密度美術館街区,Design topic: 低密度art museumneighborhood,地方城市或度假地中的分散式美术馆、街道和广场,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,可把艺术展览、街区散步、儿童学习和居民活动连接成低密度文化网络。,低密度美術館街区は、美術館・アート街区・歩行・地域再生を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 低密度art museumneighborhood is a site type that can turn art museum, artneighborhood, Design topic: 步行, localregeneration into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,美术馆|艺术街区|步行|地方再生|儿童学习,美術館|アート街区|歩行|地域再生|子ども学習,art museum|artneighborhood|Design topic: 步行|localregeneration|childrenlearning,,draft
SITE-026,大型文化复合园区,大型文化複合園区,Design topic: 大型cultural complex园区,郊区或车站外缘的大型文化、出版、展览和商业复合园区,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,可把图书、展览、活动、商业和青年文化组织成城市目的地，但也需要处理日常可达性。,大型文化複合園区は、文化複合・出版・若者文化・郊外を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 大型cultural complex园区 is a site type that can turn cultural complex, Design topic: 出版, youthculture, Design topic: 郊区 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,文化复合|出版|青年文化|郊区|活动,文化複合|出版|若者文化|郊外|活動,cultural complex|Design topic: 出版|youthculture|Design topic: 郊区|activity,,draft
SITE-027,水边美术馆周边,水辺美術館周辺,Design topic: waterfrontart museum周边,港湾、湖岸、运河或人工水景边的美术馆与步道,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,艺术参观、散步、休息和景观体验可叠合，适合研究慢行和文化公共性。,水辺美術館周辺は、水辺・美術館・ゆっくり歩く移動・景観を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: waterfrontart museum周边 is a site type that can turn waterfront, art museum, Design topic: 慢行, Design topic: 景观 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,水边|美术馆|慢行|景观|休息,水辺|美術館|ゆっくり歩く移動|景観|休息,waterfront|art museum|Design topic: 慢行|Design topic: 景观|Design topic: 休息,,draft
SITE-028,共享住宅街区,シェアハウス街区,shared housingneighborhood,大学、车站或就业支援设施附近的共享住宅和小型公寓街区,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,可把共居、厨房、学习、就业支援和邻里交流结合，回应青年孤独和居住成本。,シェアハウス街区は、シェアハウス・若者・共同居住・キッチンを空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"shared housingneighborhood is a site type that can turn shared housing, youth, Design topic: 共居, kitchen into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,共享住宅|青年|共居|厨房|邻里,シェアハウス|若者|共同居住|キッチン|近隣,shared housing|youth|Design topic: 共居|kitchen|Design topic: 邻里,,draft
SITE-029,旧商业体遗址,旧商業体遗址,Design topic: 旧商业体遗址,地方城市旧百货、旧购物中心或大型商业退场后的空地,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,大体量商业退场后可转化为水景、公园、市场、学习和城市客厅。,旧商業体遗址は、旧商業体・再利用・都市リビング・水景を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 旧商业体遗址 is a site type that can turn Design topic: 旧商业体, reuse, Design topic: urban客厅, water landscape into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,旧商业体|再利用|城市客厅|水景|公园,旧商業体|再利用|都市リビング|水景|公園,Design topic: 旧商业体|reuse|Design topic: urban客厅|water landscape|park,,draft
SITE-030,历史美术馆更新街区,歴史美術館更新街区,historyart museumrenewalneighborhood,旧公共美术馆、文化会馆和历史街区入口周边,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,既有文化记忆强，适合研究入口开放、无障碍、咖啡、广场和当代展览更新。,歴史美術館更新街区は、歴史建築・美術館更新・入口・バリアフリーを空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"historyart museumrenewalneighborhood is a site type that can turn Design topic: history建筑, art museumrenewal, entry, Design topic: 无障碍 into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,历史建筑|美术馆更新|入口|无障碍|文化记忆,歴史建築|美術館更新|入口|バリアフリー|文化記憶,Design topic: history建筑|art museumrenewal|entry|Design topic: 无障碍|Design topic: culture记忆,,draft
SITE-031,大型体育公园边缘,大型スポーツ公園縁辺,Design topic: 大型体育park边缘,国立竞技场、公园体育设施和赛事后开放空间周边,日本国内の候補エリアとして調査する。,Use as a candidate site type in Japan.,大型赛事设施常在日常中显得尺度过大，边缘空间适合转化为散步、运动、休息和社区活动节点。,大型スポーツ公園縁辺は、スポーツ公園・イベント遺産・運動・開放空間を空間化しやすい敷地タイプ。周辺の既存資源、日常利用、公共性を読み取り、卒業設計の候補地として比較できる。,"Design topic: 大型体育park边缘 is a site type that can turn Design topic: 体育park, Design topic: 赛事heritage, Design topic: 运动, openspace into a spatial proposal. It helps compare existing resources, daily use, and publicness for a thesis project.",,体育公园|赛事遗产|运动|开放空间|日常化,スポーツ公園|イベント遺産|運動|開放空間|日常化,Design topic: 体育park|Design topic: 赛事heritage|Design topic: 运动|openspace|Design topic: 日常化,,draft
