id,title,title_ja,title_en,summary,summary_ja,summary_en,keywords,keywords_ja,keywords_en,recommended_site_types,recommended_building_types,recommended_building_types_ja,recommended_building_types_en,reference_case_ids,case_relation_notes,case_relation_notes_ja,case_relation_notes_en,source_urls,status,updated_at
ISSUE-024,食品损失与循环教育,食品ロスと循環教育,Design topic: 食品损失and循环education,食品损失不只是垃圾问题，也关系家庭消费、食育、食物共享和社区互助，可转为空间化的循环学习题目。,食品ロスは廃棄量の問題であると同時に、食の流れが地域から見えなくなっている問題でもある。余剰食材の受け渡し、調理、学習、食事をつなぐことで、循環を体験として理解できる場所を考える。,"Use Design topic: 食品损失, Design topic: 循环, food education, communitykitchen to frame “Design topic: 食品损失and循环education” as a spatial thesis topic. Connect it with site types and programs such as Design topic: 食品shared站, Design topic: 循环kitchen, then develop it toward a proposal brief.",食品损失|循环|食育|社区厨房,食品ロス|循環|食育|地域食|共同調理,Design topic: 食品损失|Design topic: 循环|food education|communitykitchen,SITE-012|SITE-002,食品共享站|循环厨房|食育工坊,食品シェア拠点|循環キッチン|食育工房,Design topic: 食品shared站|Design topic: 循环kitchen|food educationworkshop,CASE-002|CASE-020|CASE-021|CASE-077,CASE-002::看垃圾分类、再利用和教育如何可视化。|CASE-020::看地方销售和交通节点如何承接食物与信息流。|CASE-021::看复合公共建筑如何容纳学习和展示。,CASE-002::分別、教育、宿泊、地域食を見える形で組み合わせる事例。循環を裏方に隠さず、公共体験に変える方法を比較できる。|CASE-020::道の駅型の地域拠点として、食、交通、防災、観光をまとめる構成を読む参考になる。|CASE-021::図書館と美術館を重ねる複合公共建築として、学習機能を食育や展示へ展開する手がかりになる。|CASE-077::都市農業をオフィス環境に埋め込んだ事例。食の生産過程を日常空間へ見せる方法を比較できる。,"CASE-002::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-020::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-021::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.caa.go.jp/en/policy/consumer_policy/|https://www.maff.go.jp/e/policies/env/,published,2026-07-05
ISSUE-025,公共浴场衰退与健康交流,公衆浴場の衰退と健康交流,Design topic: public浴场衰退andhealthexchange,公共浴场减少会削弱高龄者外出理由和邻里见面机会，可更新为洗浴、健康咨询、共食和休息复合空间。,銭湯や公衆浴場は、入浴だけでなく健康確認、雑談、孤立の予防を担ってきた。既存の浴場文化を読み替え、短時間の休憩、軽い運動、相談、地域交流が重なる健康の居場所を考える。,"Use Design topic: 澡堂, health, aging, third place to frame “Design topic: public浴场衰退andhealthexchange” as a spatial thesis topic. Connect it with site types and programs such as Design topic: community浴场, Design topic: healthexchange站, then develop it toward a proposal brief.",澡堂|健康|高龄|第三空间,銭湯|健康|高齢|第三の居場所|交流,Design topic: 澡堂|health|aging|third place,SITE-013|SITE-002,社区浴场|健康交流站|小型温浴,コミュニティ浴場|健康交流拠点|小型温浴施設,Design topic: community浴场|Design topic: healthexchange站|Design topic: 小型温浴,CASE-008|CASE-027|CASE-016|CASE-033,CASE-008::看温浴与车站如何形成日常公共客厅。|CASE-027::看地方公共设施如何支持多代停留。|CASE-016::看公共建筑如何把健康和环境体验结合。,CASE-008::駅、温浴、地域交流を復興後の生活動線に組み込む事例。移動と入浴を地域の再会の場へ変える視点がある。|CASE-027::図書館と福祉を重ねる地域拠点として、健康目的以外の滞在を受け止める公共性を比較できる。|CASE-016::建築と緑化を一体化した都市施設として、休憩、環境、公共利用を重ねる方法を読む参考になる。|CASE-033::足湯、食、観光案内をまとめた小さな滞在拠点。入浴文化を短時間利用の交流へ広げる手がかりになる。,"CASE-008::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-027::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-016::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.mhlw.go.jp/|https://www8.cao.go.jp/kourei/,published,2026-07-05
ISSUE-026,高架下空间与邻里修复,高架下空間と近隣の修復,Design topic: 高架下spaceand邻里修复,铁路和道路高架常切断街区，但遮雨和连续性也可转化为运动、工坊、市集和步行修复空间。,高架下は移動インフラの余白でありながら、暗さ、騒音、分断の印象を持たれやすい。雨を避けられる連続空間として読み替え、歩行、制作、小商い、運動が近隣関係を修復する場を考える。,"Use Design topic: 高架下, Design topic: 步行, Design topic: 雨天space, publicness to frame “Design topic: 高架下spaceand邻里修复” as a spatial thesis topic. Connect it with site types and programs such as Design topic: 高架下workshop, Design topic: community运动场, then develop it toward a proposal brief.",高架下|步行|雨天空间|公共性,高架下|歩行|雨天利用|公共性|街区更新,Design topic: 高架下|Design topic: 步行|Design topic: 雨天space|publicness,SITE-015|SITE-004,高架下工坊|社区运动场|雨天公共廊,高架下工房|コミュニティ運動場|雨天公共廊,Design topic: 高架下workshop|Design topic: community运动场|Design topic: 雨天public廊,CASE-019|CASE-028|CASE-017|CASE-039|CASE-068|CASE-038,CASE-019::看交通节点公共设施如何承接停留和咨询。|CASE-028::看中心街区再生如何借艺术和住宿激活公共界面。|CASE-017::看港湾复合体如何处理生产展示和开放空间。,CASE-019::駅前公共拠点として、交通結節点に相談や市民活動を重ねる構成を比較できる。|CASE-028::既存建物と街の回遊を組み合わせた再生事例。通過空間を滞在へ変える考え方が参考になる。|CASE-017::港湾部の生産展示と滞在を重ねる事例。インフラ周辺の大きな余白を街の活動へ開く視点がある。|CASE-039::高架下に商業、シェアオフィス、街区文化を組み込む事例。雨天でも使える連続空間の運営を比較できる。|CASE-068::高架下の公園利用をめぐる事例として、都市の隙間を若者の運動や公共利用へ開く課題を読める。|CASE-038::旧鉄道用地を小店舗と歩行の街区へ変える事例。インフラ余白を小さな起業と近隣活動につなげる参考になる。,"CASE-019::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-028::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-017::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.mlit.go.jp/|https://www.meti.go.jp/,published,2026-07-05
ISSUE-027,都市农业与食育连接,都市農業と食育の接続,Design topic: 都市农业andfood education连接,近郊农地和城市家庭之间缺少可学习的中介空间，建筑可连接种植、食育、地方销售和环境教育。,都市農業は畑を残すだけでなく、食べる、学ぶ、働く、地域で分ける活動をどうつなぐかが課題になる。住宅地や近郊の余白を使い、食育と環境教育が日常的に見える拠点を考える。,"Use Design topic: 都市农业, food education, Design topic: 近郊, environmental education to frame “Design topic: 都市农业andfood education连接” as a spatial thesis topic. Connect it with site types and programs such as Design topic: 都市农园站, Design topic: food education教室, then develop it toward a proposal brief.",都市农业|食育|近郊|环境教育,都市農業|食育|近郊|環境教育|地域食,Design topic: 都市农业|food education|Design topic: 近郊|environmental education,SITE-012|SITE-006,都市农园站|食育教室|农产交流所,都市農園拠点|食育教室|農産交流所,Design topic: 都市农园站|Design topic: food education教室|Design topic: 农产exchange所,CASE-002|CASE-020|CASE-043|CASE-077|CASE-063,CASE-002::看环境教育如何通过参观动线被日常化。|CASE-020::看地方农产与休息节点如何结合。|CASE-043::看农产销售、地方木材和交通停留如何组织食育入口。,CASE-002::循環、教育、地域食を一つの公共体験として見せる事例。農と食の流れを学習化する参考になる。|CASE-020::地域食、交通、防災をまとめる道の駅型拠点として、生産地と生活サービスをつなげる構成を読める。|CASE-043::地域食と地域木材を交通拠点に組み込む事例。農産物と来訪者をつなぐ小さな公共建築として比較できる。|CASE-077::都市農業を建築内部の働く環境に入れた事例。農を展示ではなく日常のプロセスとして扱う視点がある。|CASE-063::道の駅を地域食と共創の場として扱う事例。農産物、会議、移動を同じ場所に重ねる参考になる。,"CASE-002::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-020::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-043::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.maff.go.jp/|https://www.env.go.jp/,published,2026-07-05
ISSUE-028,医疗空白与日常咨询,医療空白と日常相談,Design topic: healthcare空白and日常consultation,地方和郊区的医疗访问困难会加重高龄者不安，街区可设置健康咨询、移动诊疗、药局和交流复合节点。,医療資源が少ない地域では、診療所そのものだけでなく、日常的な相談、健康確認、移動支援を受け止める場所が必要になる。図書館、薬局、道の駅、地域拠点を使い、医療前の不安に触れる空間を考える。,"Use healthcare, consultation, aging, local to frame “Design topic: healthcare空白and日常consultation” as a spatial thesis topic. Connect it with site types and programs such as Design topic: healthconsultation站, Design topic: mobility诊疗据点, then develop it toward a proposal brief.",医疗|咨询|高龄|地方|移动服务,医療|相談|高齢|地域|移動支援,healthcare|consultation|aging|local|mobilityservice,SITE-004|SITE-011,健康咨询站|移动诊疗据点|药局复合空间,健康相談拠点|移動診療拠点|薬局複合空間,Design topic: healthconsultation站|Design topic: mobility诊疗据点|Design topic: 药局复合space,CASE-027|CASE-020|CASE-019|CASE-079|CASE-092,CASE-027::看福祉与公共学习设施如何相邻。|CASE-020::看交通休息节点如何扩展为生活服务据点。|CASE-019::看车站型公共设施如何承接咨询、活动和生活手续。,CASE-027::図書館、福祉、地域木材を重ねる拠点として、医療目的以外でも訪れられる相談の入口を比較できる。|CASE-020::交通、防災、地域食、観光案内を受け止める道の駅型拠点。移動支援と生活サービスを重ねる参考になる。|CASE-019::駅前の公共サービスと相談をまとめる事例。医療前の不安を公共施設の中で受け止める配置を読める。|CASE-079::図書館とコミュニティセンターの複合更新として、健康相談を日常利用に混ぜる方法を比較できる。|CASE-092::大型図書館を地域の学習と滞在の拠点にする事例。医療情報や相談前の調べものを支える公共性を読める。,"CASE-027::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-020::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-019::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.mhlw.go.jp/|https://www.soumu.go.jp/,published,2026-07-05
ISSUE-029,外国儿童学习支援,外国ルーツの子どもの学習支援,foreignchildrenlearningsupport,外国儿童和家长可能同时面对语言、学校制度和居住信息壁垒，需要学习、翻译、咨询和亲子交流空间。,外国ルーツの子どもには、言語学習だけでなく、宿題、進路、親の相談、地域との接点が同時に必要になる。学校外の放課後時間を支え、多文化の居場所として開ける学習拠点を考える。,"Use foreignchildren, Design topic: 语言, learning, multicultural to frame “foreignchildrenlearningsupport” as a spatial thesis topic. Connect it with site types and programs such as Design topic: multiculturallearning室, Design topic: 放课后support站, then develop it toward a proposal brief.",外国儿童|语言|学习|多文化,外国ルーツの子ども|言語|学習|多文化|放課後,foreignchildren|Design topic: 语言|learning|multicultural,SITE-008|SITE-002,多文化学习室|放课后支援站|家长咨询所,多文化学習室|放課後支援拠点|保護者相談所,Design topic: multiculturallearning室|Design topic: 放课后support站|Design topic: 家长consultation所,CASE-022|CASE-009|CASE-023|CASE-096|CASE-098|CASE-095,CASE-022::看多文化交流和学习功能如何放进同一公共设施。|CASE-009::看移民服务如何形成多文化入口。|CASE-023::看儿童阅读空间如何降低学习门槛。,CASE-022::図書館、市民活動、多文化利用を受け止める公共施設として、学習と地域参加を同時に支える構成を比較できる。|CASE-009::移民支援、相談、交流をまとめた公共施設。制度への入口を低くし、多文化の相談を建築化する参考になる。|CASE-023::子どもが本と出会う体験を都市の中で開く事例。学習を管理ではなく発見として扱う視点がある。|CASE-096::日系アメリカ人コミュニティの文化拠点として、アイデンティティ、学習、公共記憶を同じ場所で支える参考になる。|CASE-098::図書館を学習、制作、市民活動の開いたプラットフォームにする事例。多言語利用者にも入りやすい公共性を比較できる。|CASE-095::大学図書館の静かな学習環境として、集中と滞在を支える空間密度を読む参考になる。,"CASE-022::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-009::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-023::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.mext.go.jp/|https://www.moj.go.jp/isa/,published,2026-07-05
ISSUE-030,地方祭典与公共记忆,地域祭礼と公共記憶,Design topic: local祭典andpublic记忆,地方祭典和民俗活动常缺少日常可用的保存、排练和展示空间，建筑可把记忆、旅游和居民交流连接起来。,地域祭礼は一時的なイベントで終わるものではなく、道具、記憶、稽古、世代間の継承を支える日常の場所を必要とする。観光化しすぎず、住民の記憶と来訪者の理解をつなぐ文化拠点を考える。,"Use Design topic: 祭典, localculture, exchange, tourism to frame “Design topic: local祭典andpublic记忆” as a spatial thesis topic. Connect it with site types and programs such as Design topic: 祭典资料馆, Design topic: community舞台, then develop it toward a proposal brief.",祭典|地方文化|交流|旅游,祭礼|地域文化|公共記憶|観光|継承,Design topic: 祭典|localculture|exchange|tourism,SITE-008|SITE-006,祭典资料馆|社区舞台|文化交流所,祭礼資料館|コミュニティ舞台|文化交流所,Design topic: 祭典资料馆|Design topic: community舞台|Design topic: cultureexchange所,CASE-027|CASE-028|CASE-060|CASE-096|CASE-100,CASE-027::看地方木造公共设施如何承载文化和多代交流。|CASE-028::看艺术住宿如何参与地方中心街区再生。|CASE-060::看传统文化、庭园和观光路线如何被组织成公共体验。,CASE-027::地域木材、図書館、福祉を重ねる拠点として、日常利用の中に地域文化を置く方法を比較できる。|CASE-028::宿泊、アート、中心市街地の回遊を組み合わせる事例。来訪者と地域文化の距離感を読む参考になる。|CASE-060::観光地の中で美術館、庭園、伝統文化を落ち着いた滞在としてまとめる事例。観光と生活景観の関係を比較できる。|CASE-096::文化センターとして移民コミュニティの記憶と表現を支える事例。祭礼や地域文化の継承拠点を考える手がかりになる。|CASE-100::庭園、学習、接待を小さな建築群で組み立てる事例。文化体験を過度に説明せず、滞在の流れで伝える方法を読める。,"CASE-027::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-028::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-060::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.bunka.go.jp/|https://www.mlit.go.jp/kankocho/,published,2026-07-05
ISSUE-031,公共厕所与步行尊严,公共トイレと歩行の尊厳,Design topic: public toiletand步行尊严,公共厕所影响儿童、高龄者、游客、障碍者和夜间使用者是否敢停留，适合作为小尺度公共服务题目。,公共トイレは小さな施設だが、歩行者、高齢者、子ども、観光客の移動の安心を支える都市インフラでもある。清潔さ、安全性、バリアフリー、休憩を含めた歩行の尊厳を考える。,"Use public toilet, Design topic: 步行, safety, Design topic: 无障碍 to frame “Design topic: public toiletand步行尊严” as a spatial thesis topic. Connect it with site types and programs such as public toiletrenewal, Design topic: 步行休息站, then develop it toward a proposal brief.",公共厕所|步行|安全|无障碍,公共トイレ|歩行|安全|バリアフリー|休憩,public toilet|Design topic: 步行|safety|Design topic: 无障碍,SITE-016|SITE-004,公共厕所更新|步行休息站|小型公共服务亭,公共トイレ更新|歩行休憩拠点|小型公共サービス亭,public toiletrenewal|Design topic: 步行休息站|Design topic: 小型public service亭,CASE-031|CASE-029|CASE-019|CASE-068|CASE-094,CASE-031::看厕所如何通过设计和维护成为城市公共服务。|CASE-029::看非商业停留空间如何支持青少年和市民。|CASE-019::看咨询和公共服务如何嵌入交通节点。,CASE-031::公共トイレを都市の小さな建築として扱う事例。安全、可視性、バリアフリー、デザインの関係を比較できる。|CASE-029::図書館と市民活動を重ねる第三の居場所として、歩行の途中で休める公共性を読む参考になる。|CASE-019::駅前公共サービスの拠点として、トイレや休憩を生活動線に組み込む配置を比較できる。|CASE-068::高架下の公園利用をめぐる事例。小さな公共サービスと若者の活動がぶつかる都市空間を読める。|CASE-094::駅を都市の歩行拠点として設計する事例。移動、休憩、案内をまとめるインフラの公共性を比較できる。,"CASE-031::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-029::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-019::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://tokyotoilet.jp/en/|https://www.mlit.go.jp/,published,2026-07-05
ISSUE-032,避难所隐私与生活尊严,避難所のプライバシーと生活の尊厳,Design topic: evacuation所隐私and生活尊严,体育馆式避难常缺少隐私、睡眠和家庭边界，建筑可研究可快速部署、可储备、可平时学习的避难系统。,避難所では命を守るだけでなく、睡眠、着替え、家族の距離、情報、衛生といった生活の尊厳が問われる。平常時にも使える公共施設や備蓄空間を前提に、災害時へ切り替わる仕組みを考える。,"Use evacuation, Design topic: 隐私, disaster prevention, Design topic: 临时系统 to frame “Design topic: evacuation所隐私and生活尊严” as a spatial thesis topic. Connect it with site types and programs such as Design topic: evacuation隔间系统, Design topic: disaster preventionlearning仓库, then develop it toward a proposal brief.",避难|隐私|防灾|临时系统,避難|プライバシー|防災|仮設システム|生活再建,evacuation|Design topic: 隐私|disaster prevention|Design topic: 临时系统,SITE-010|SITE-005,避难隔间系统|防灾学习仓库|平灾转换体育馆,避難間仕切りシステム|防災学習倉庫|平時利用型体育館,Design topic: evacuation隔间系统|Design topic: disaster preventionlearning仓库|Design topic: 平灾转换体育馆,CASE-081|CASE-015|CASE-056|CASE-096,,CASE-081::震災後の市民交流拠点として、復興、図書館、子育て支援を重ねる公共施設の役割を比較できる。|CASE-015::この事例は、課題に近い公共性、運営、滞在、プログラム複合を比較するための参考になる。|CASE-056::この事例は、課題に近い公共性、運営、滞在、プログラム複合を比較するための参考になる。|CASE-096::この事例は、課題に近い公共性、運営、滞在、プログラム複合を比較するための参考になる。,,https://www.bousai.go.jp/|https://shigerubanarchitects.com/works/paper-tubes/paper-partition-system4/,published,2026-07-05
ISSUE-033,温泉街衰退与健康旅游,温泉街の衰退と健康観光,Design topic: 温泉街衰退andhealthtourism,温泉街若只依赖住宿消费会变脆弱，可通过足汤、地域食、健康咨询和小剧场形成居民也能使用的公共节点。,温泉街の衰退は宿泊客の減少だけでなく、住民の健康、商店街、移動、食の場所が弱くなる問題でもある。足湯や小さな温浴を入口に、短時間滞在と地域交流を支える拠点を考える。,"Use Design topic: 温泉街, health, tourism, local food to frame “Design topic: 温泉街衰退andhealthtourism” as a spatial thesis topic. Connect it with site types and programs such as Design topic: 温泉exchange馆, Design topic: 足汤广场, then develop it toward a proposal brief.",温泉街|健康|旅游|地域食,温泉街|健康|観光|地域食|滞在,Design topic: 温泉街|health|tourism|local food,SITE-018|SITE-013,温泉交流馆|足汤广场|健康旅游案内所,温泉交流館|足湯広場|健康観光案内所,Design topic: 温泉exchange馆|Design topic: 足汤广场|Design topic: healthtourism案内所,CASE-033|CASE-008|CASE-020|CASE-060,CASE-033::看足汤、店铺和生态空间如何被一个屋顶整合。|CASE-008::看温浴与车站复合如何形成公共客厅。|CASE-020::看地方销售和休息服务如何支撑旅游节点。,CASE-033::足湯、地域食、観光案内をまとめる小拠点として、温泉街の短時間滞在を交流へ変える方法を読める。|CASE-008::駅と温浴を組み合わせる復興拠点として、移動と健康交流を同じ場所に置く参考になる。|CASE-020::道の駅型拠点として、交通、食、防災、観光をまとめる構成を比較できる。|CASE-060::観光地で美術館、庭園、伝統文化を落ち着いた滞在に変える事例。温泉街の観光と住民利用の距離感を考える手がかりになる。,"CASE-033::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-008::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-020::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.mlit.go.jp/kankocho/|https://www.mhlw.go.jp/,published,2026-07-05
ISSUE-034,不登校与替代学习空间,不登校と代替学習空間,Design topic: 不登校and替代learningspace,不登校儿童需要非学校式但有秩序的学习、咨询和同伴空间，设计重点是低压力入口和可选择的停留方式。,不登校の子どもに必要なのは、学校の代替だけではなく、安心して過ごす時間、少人数の学び、相談、創作、親との距離を調整できる場所である。管理された教室ではない第三の学習空間を考える。,"Use Design topic: 不登校, Design topic: 替代learning, children, consultation to frame “Design topic: 不登校and替代learningspace” as a spatial thesis topic. Connect it with site types and programs such as Design topic: 替代learning室, childrenthird place, then develop it toward a proposal brief.",不登校|替代学习|儿童|咨询,不登校|代替学習|子ども|相談|第三の居場所,Design topic: 不登校|Design topic: 替代learning|children|consultation,SITE-017|SITE-008,替代学习室|儿童第三空间|家长咨询站,代替学習室|子どもの第三の居場所|保護者相談拠点,Design topic: 替代learning室|childrenthird place|Design topic: 家长consultation站,CASE-029|CASE-036|CASE-023|CASE-095|CASE-098,CASE-029::看青少年活动和图书馆如何并置为低压力停留场所。|CASE-036::看开放学习环境如何支持自主学习。|CASE-023::看儿童阅读空间如何激发安全探索。,CASE-029::図書館、青少年、市民活動を重ねる事例。学校以外の学びと居場所を同時に支える参考になる。|CASE-036::アート大学図書館として、創作と静かな学習が同居する空間を読む参考になる。|CASE-023::子どもが本と出会う体験を開く事例。管理ではなく発見から学びを支える考え方がある。|CASE-095::集中して滞在できる学習空間として、静けさ、見通し、居場所の密度を比較できる。|CASE-098::図書館を市民活動と制作のプラットフォームにする事例。学校外の学びを公共空間へ広げる参考になる。,"CASE-029::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-036::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-023::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.mext.go.jp/|https://www.cfa.go.jp/,published,2026-07-05
ISSUE-035,地方创业与共创办公,地域起業と共創オフィス,Design topic: local创业and共创办公,地方城市需要低成本试错空间，把空置楼层变成共享办公、活动、展示和生活服务，可降低创业门槛。,地域起業には机と会議室だけでなく、試作、展示、相談、偶然の出会い、地域への見せ方が必要になる。空きフロアや旧工業地を使い、小さな事業が街と関係を持つ共創拠点を考える。,"Use Design topic: 创业, Design topic: shared办公, localregeneration, Design topic: 空置楼层 to frame “Design topic: local创业and共创办公” as a spatial thesis topic. Connect it with site types and programs such as Design topic: 共创办公, Design topic: openmeeting室, then develop it toward a proposal brief.",创业|共享办公|地方再生|空置楼层,起業|シェアオフィス|地域再生|空きフロア|共創,Design topic: 创业|Design topic: shared办公|localregeneration|Design topic: 空置楼层,SITE-019|SITE-009,共创办公|开放会议室|创业展示场,共創オフィス|開放会議室|起業展示場,Design topic: 共创办公|Design topic: openmeeting室|Design topic: 创业exhibition场,CASE-035|CASE-028|CASE-089|CASE-039|CASE-038,CASE-035::看共创平台如何组织创业者和研究者。|CASE-028::看中心街区再生如何借住宿和艺术形成触媒。,CASE-035::研究、共創、シェアオフィスを組み合わせる事例。起業支援を閉じたオフィスではなく交流の場として読む。|CASE-028::既存建物、宿泊、アート、街の回遊を合わせる再生事例。起業と都市滞在をつなぐ参考になる。|CASE-089::再利用材と小規模事業者の集合による共創拠点。地域起業の小さな単位と運営の仕組みを比較できる。|CASE-039::高架下に商業とシェアオフィスを入れる事例。街区文化と起業支援を同時に扱う参考になる。|CASE-038::この事例は、課題に近い公共性、運営、滞在、プログラム複合を比較するための参考になる。,"CASE-035::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-028::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.meti.go.jp/|https://www.soumu.go.jp/,published,2026-07-05
ISSUE-036,雨水管理与日常公园,雨水管理と日常公園,Design topic: 雨水管理and日常park,调节池和雨水设施常被隐藏，若转化为可进入的学习、公园和防灾节点，可把基础设施变成公共教育资源。,雨水管理は排水設備だけで解くのではなく、日常の公園、学習、涼しさ、生態環境として見せることができる。調整池や低地を使い、防災と遊びが両立するグリーンインフラを考える。,"Use Design topic: 雨水, Design topic: 蓝绿基础facility, disaster prevention, park to frame “Design topic: 雨水管理and日常park” as a spatial thesis topic. Connect it with site types and programs such as Design topic: 雨水learningpark, Design topic: 调节池展望廊, then develop it toward a proposal brief.",雨水|蓝绿基础设施|防灾|公园,雨水|グリーンインフラ|防災|公園|生態,Design topic: 雨水|Design topic: 蓝绿基础facility|disaster prevention|park,SITE-020|SITE-006,雨水学习公园|调节池展望廊|防灾生态馆,雨水学習公園|調整池展望廊|防災生態館,Design topic: 雨水learningpark|Design topic: 调节池展望廊|Design topic: disaster prevention生态馆,CASE-016|CASE-014|CASE-056|CASE-077,CASE-016::看生态绿化如何进入公共建筑体验。|CASE-014::看水边公共空间如何承接日常散步。,CASE-016::建築と緑化を一体化し、暑熱、生態、休憩を立体的に扱う事例。都市環境を見せる参考になる。|CASE-014::川沿いの歩行と休憩を連続させる事例。水辺を都市生活の基盤として読む手がかりになる。|CASE-056::旧商業施設跡を水と公園の空間へ変える事例。雨水や水辺を都市更新の中心に置く方法を比較できる。|CASE-077::都市農業を建築内に入れる事例。環境教育を日常の働く場所に見せる考え方が参考になる。,"CASE-016::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-014::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www.mlit.go.jp/river/|https://www.env.go.jp/,published,2026-07-05
ISSUE-037,高龄者步行休息网络,高齢者の歩行休憩ネットワーク,Design topic: aging者步行休息网络,高龄者出门距离受厕所、座椅、阴影和求助点影响，毕业设计可把小节点串成可步行生活圈。,高齢者の外出は、目的地よりも途中の休憩、トイレ、日陰、見守りの有無に左右される。街角の小さな休息点を連続させ、歩くこと自体を支える公共サービスのネットワークを考える。,"Use aging, Design topic: 步行, Design topic: 休息, Design topic: 厕所 to frame “Design topic: aging者步行休息网络” as a spatial thesis topic. Connect it with site types and programs such as Design topic: 街角休息亭, Design topic: 步行support网络, then develop it toward a proposal brief.",高龄|步行|休息|厕所,高齢|歩行|休息|トイレ|見守り,aging|Design topic: 步行|Design topic: 休息|Design topic: 厕所,SITE-016|SITE-017,街角休息亭|步行支援网络|小型健康站,街角休息亭|歩行支援ネットワーク|小型健康拠点,Design topic: 街角休息亭|Design topic: 步行support网络|Design topic: 小型health站,CASE-031|CASE-027|CASE-029|CASE-094|CASE-079,CASE-031::看公共厕所如何支撑安心步行。|CASE-027::看地方公共设施如何支持多代停留。|CASE-029::看非商业学习和休息空间如何成为日常目的地。,CASE-031::公共トイレを都市の小さな建築として扱う事例。歩行中の安心と尊厳を支える要素を比較できる。|CASE-027::高齢者も子どもも滞在できる地域拠点として、休息と交流を重ねる公共性を読める。|CASE-029::図書館と市民活動の第三の居場所として、街中で休める公共施設の使われ方を比較できる。|CASE-094::駅を都市の移動拠点として設計する事例。歩行支援、案内、滞留をインフラに組み込む参考になる。|CASE-079::図書館とコミュニティ施設を合わせた地域拠点。高齢者が目的を限定せず立ち寄れる場所のつくり方を読める。,"CASE-031::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-027::This case helps compare mixed programs, publicness, and operational ideas related to the issue.|CASE-029::This case helps compare mixed programs, publicness, and operational ideas related to the issue.",https://www8.cao.go.jp/kourei/|https://www.mlit.go.jp/,published,2026-07-05
